01TC0006,,,
000605,030,,"75,00"
000001,030,,"220,00"
000350,030,,"275,00"
000601,030,,"395,00"
000370,030,,"830,00"
000345,030,,"1500,00"
000062,030,,"2155,00"
000101,030,,"1850,00"
000094,030,,"200,00"
000611,030,,"250,00"
000448,030,,"1190,00"
000417,030,,"1265,00"
000589,030,,"1645,00"
000523,030,,"250,00"
000595,030,,"170,00"
000081,030,,"1340,00"
000472,030,,"1145,00"
000529,030,,"50,00"
000478,030,,"575,00"
000590,030,,"935,00"
000585,030,,"135,00"
000582,030,,"945,00"
000582,030,,"28625,00"
